Número de factura,Sucursal,Ciudad,Tipo de cliente,Género,Línea de producto,Precio unitario,Cantidad,Impuesto 5%,Total,Fecha,Hora,Método de pago,Costo de bienes vendidos,Porcentaje de margen bruto,Ingreso bruto,Calificación
750-67-8428,A,Yangon,Miembro,Femenino,Salud y belleza,"74,69",7,"26,1415","548,9715",05/01/2019,13:08,Billetera electrónica,"522,83","4,761904762","26,1415","9,1"
226-31-3081,C,Naypyitaw,Normal,Femenino,Accesorios electrónicos,"15,28",5,"3,82","80,22",08/03/2019,10:29,Efectivo,"76,4","4,761904762","3,82","9,6"
631-41-3108,A,Yangon,Normal,Masculino,Hogar y estilo de vida,"46,33",7,"16,2155","340,5255",03/03/2019,13:23,Tarjeta de crédito,"324,31","4,761904762","16,2155","7,4"
123-19-1176,A,Yangon,Miembro,Masculino,Salud y belleza,"58,22",8,"23,288","489,048",27/01/2019,20:33,Billetera electrónica,"465,76","4,761904762","23,288","8,4"
373-73-7910,A,Yangon,Normal,Masculino,Deportes y viajes,"86,31",7,"30,2085","634,3785",08/02/2019,10:37,Billetera electrónica,"604,17","4,761904762","30,2085","5,3"
699-14-3026,C,Naypyitaw,Normal,Masculino,Accesorios electrónicos,"85,39",7,"29,8865","627,6165",25/03/2019,18:30,Billetera electrónica,"597,73","4,761904762","29,8865","4,1"
355-53-5943,A,Yangon,Miembro,Femenino,Accesorios electrónicos,"68,84",6,"20,652","433,692",25/02/2019,14:36,Billetera electrónica,"413,04","4,761904762","20,652","5,8"
315-22-5665,C,Naypyitaw,Normal,Femenino,Hogar y estilo de vida,"73,56",10,"36,78","772,38",24/02/2019,11:38,Billetera electrónica,"735,6","4,761904762","36,78","8,0"
665-32-9167,A,Yangon,Miembro,Femenino,Salud y belleza,"36,26",2,"3,626","76,146",10/01/2019,17:15,Tarjeta de crédito,"72,52","4,761904762","3,626","7,2"
692-92-5582,B,Mandalay,Miembro,Femenino,Alimentos y bebidas,"54,84",3,"8,226","172,746",20/02/2019,13:27,Tarjeta de crédito,"164,52","4,761904762","8,226","5,9"
351-62-0822,B,Mandalay,Miembro,Femenino,Accesorios de moda,"14,48",4,"2,896","60,816",06/02/2019,18:07,Billetera electrónica,"57,92","4,761904762","2,896","4,5"
529-56-3974,B,Mandalay,Miembro,Masculino,Accesorios electrónicos,"25,51",4,"5,102","107,142",09/03/2019,17:03,Efectivo,"102,04","4,761904762","5,102","6,8"
